file,offset,valid_instructions_count,arch
1.exe,560245,6207,32
1.exe,435000,71,32
1.exe,381816,32,32
1.exe,447779,1305,32
1.exe,14997,4674,32
1.exe,304396,120,32
1.exe,545211,18887,32
1.exe,251221,9835,32
1.exe,238817,11,32
1.exe,473515,1239,32
1.exe,288122,2,32
1.exe,487530,628,32
1.exe,390486,53,32
1.exe,290302,42,32
1.exe,301613,7,32
1.exe,130097,17402,32
1.exe,529608,34328,32
1.exe,487527,629,32
1.exe,408599,15,32
1.exe,505797,711,32
1.exe,215027,1698,32
1.exe,80871,9659,32
1.exe,328063,4,32
1.exe,379877,3,32
1.exe,69911,448,32
1.exe,553435,10810,32
1.exe,347709,61,32
1.exe,271947,5580,32
1.exe,360326,13,32
1.exe,268722,7192,32
1.exe,124871,22583,32
1.exe,378339,9,32
1.exe,47000,2321,32
1.exe,543611,20471,32
1.exe,503010,3421,32
1.exe,30912,2369,32
1.exe,99690,47281,32
1.exe,134317,13258,32
1.exe,519949,43736,32
1.exe,190691,3587,32
1.exe,106784,40357,32
1.exe,571640,585,32
1.exe,389946,71,32
1.exe,510946,52496,32
1.exe,481152,569,32
1.exe,555798,8488,32
1.exe,505260,1234,32
1.exe,205230,5055,32
1.exe,375873,60,32
1.exe,39062,1650,32
1.exe,254983,7817,32
1.exe,30104,3172,32
1.exe,219492,200,32
1.exe,450391,930,32
1.exe,525002,38810,32
1.exe,74519,2565,32
1.exe,464118,1226,32
1.exe,175956,10544,32
1.exe,199263,381,32
1.exe,100924,46080,32
1.exe,325335,23,32
1.exe,205033,5118,32
1.exe,31767,1523,32
1.exe,79921,10584,32
1.exe,197071,1123,32
1.exe,359076,13,32
1.exe,235543,16998,32
1.exe,342062,9,32
1.exe,510124,53291,32
1.exe,324624,10,32
1.exe,233121,17967,32
1.exe,551738,12482,32
1.exe,491143,1799,32
1.exe,184369,6415,32
1.exe,554294,9959,32
1.exe,355506,213,32
1.exe,447159,1922,32
1.exe,296760,12,32
1.exe,243400,13605,32
1.exe,314838,78,32
1.exe,85521,5084,32
1.exe,408508,13,32
1.exe,109057,38139,32
1.exe,269691,6708,32
1.exe,360492,57,32
1.exe,238578,15757,32
1.exe,197212,1079,32
1.exe,502117,4303,32
1.exe,146765,4236,32
1.exe,544358,19726,32
1.exe,565876,3392,32
1.exe,281992,557,32
1.exe,394991,31,32
1.exe,499039,7325,32
1.exe,302724,93,32
1.exe,120562,26850,32
1.exe,279263,1922,32
1.exe,309976,60,32
1.exe,414273,75,32
1.exe,128560,18916,32
1.exe,445019,4035,32
1.exe,197297,1044,32
1.exe,548381,15762,32
1.exe,205412,4989,32
1.exe,210833,3168,32
1.exe,379198,37,32
1.exe,495490,10806,32
1.exe,231200,18651,32
1.exe,293946,30,32
1.exe,230742,18880,32
1.exe,270757,6175,32
1.exe,110760,36487,32
1.exe,308600,31,32
1.exe,121794,25622,32
1.exe,127633,19841,32
1.exe,508481,54895,32
1.exe,19970,2436,32
1.exe,56199,269,32
1.exe,86166,4457,32
1.exe,441040,4,32
1.exe,28608,4638,32
1.exe,31750,1540,32
1.exe,310083,20,32
1.exe,355194,22,32
1.exe,231936,18383,32
1.exe,320635,185,32
1.exe,368733,6,32
1.exe,196120,1488,32
1.exe,453635,765,32
1.exe,280450,1328,32
1.exe,332670,8,32
1.exe,453152,1158,32
1.exe,554246,10007,32
1.exe,445050,4004,32
1.exe,166012,15914,32
1.exe,568892,1884,32
1.exe,334250,27,32
1.exe,399733,57,32
1.exe,116554,30814,32
1.exe,335356,7,32
1.exe,492776,282,32
1.exe,222080,121,32
1.exe,53990,2088,32
1.exe,203684,326,32
1.exe,77931,1272,32
1.exe,393310,15,32
1.exe,308201,79,32
1.exe,453034,1254,32
1.exe,339402,3,32
1.exe,381489,2,32
